Source,Text,Topics
Prophet Muhammad (PBUH) - Sahih al-Bukhari 1,"Actions are judged by intentions.",Faith; Intentions; Ethics
Prophet Muhammad (PBUH) - Sahih Muslim 223,"None of you truly believes until he loves for his brother what he loves for himself.",Brotherhood; Faith; Ethics
Prophet Muhammad (PBUH) - Riyad as-Salihin 18,"A strong believer is better than a weak believer.",Faith; Strength; Character
Imam Ali (RA),"Knowledge enlivens the soul.",Knowledge; Wisdom; Education
Rumi,"Raise your words, not your voice. It is rain that grows flowers, not thunder.",Wisdom; Patience; Communication
Prophet Muhammad (PBUH) - Sunan Abu Dawood 4800,"The best charity is that given in Ramadan.",Charity; Ramadan; Generosity
Al-Ghazali,"The heart of the believer is the throne of mercy.",Compassion; Faith; Spirituality
Prophet Muhammad (PBUH) - Sahih al-Bukhari 6011,"Avoid jealousy, for it destroys good deeds as fire destroys wood.",Ethics; Humility; Self-Improvement
Ibn Taymiyyah,"Patience is to faith as the head is to the body.",Patience; Faith; Resilience
Prophet Muhammad (PBUH) - Jami` at-Tirmidhi 2018,"Whoever does not show mercy will not be shown mercy.",Compassion; Mercy; Justice
Khadijah (RA),"By Allah, Allah will never disgrace you. You maintain family ties and help the needy.",Family; Charity; Character
Prophet Muhammad (PBUH) - Sahih Muslim 674,"Cleanliness is half of faith.",Hygiene; Faith; Worship
Umar ibn Al-Khattab (RA),"Account yourself before you are accounted.",Self-Reflection; Accountability; Repentance
Prophet Muhammad (PBUH) - Sahih al-Bukhari 6138,"The world is a prison for the believer and a paradise for the disbeliever.",Contentment; Faith; Worldly Life
Malcolm X,"Education is the passport to the future.",Education; Knowledge; Empowerment
Prophet Muhammad (PBUH) - Sahih al-Bukhari 2442,"The best of you are those who are best to their wives.",Family; Marriage; Kindness
Aisha (RA),"Do good deeds properly, sincerely, and moderately.",Ethics; Sincerity; Moderation
Prophet Muhammad (PBUH) - Sahih Muslim 2699,"Allah is gentle and loves gentleness.",Compassion; Mercy; Character
